sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,removal_reason
493,85.79100394717436,27.83065145750102,43.347774505615234,1463.0,330.9997863769531,0.751503586769104,10.0,6.791383266448975,1800.0,60.0,14.549167164353154,Rainfall_iqr_outlier
518,85.73378858599219,27.86006745178117,70.15231323242188,1389.0,134.99334716796875,0.5763425827026367,30.0,4.696327209472656,2280.0,276.5863337187866,13.11019269642873,Slope_iqr_outlier;TWI_iqr_outlier
544,85.7574308300831,27.893108785533208,56.993316650390625,1121.0,99.07499694824219,0.37170615792274475,30.0,4.774409770965576,120.0,30.0,13.032288001100204,TWI_iqr_outlier
561,85.78056893007135,27.968175266248917,34.796695709228516,2225.0,116.26901245117188,0.42457231879234314,30.0,4.540307521820068,1272.7922061357856,1667.3631877908304,14.24151780509672,Road Proximity_iqr_outlier
567,85.76034025070406,28.03283670282528,34.550506591796875,2955.0,32.186195373535156,0.40345922112464905,60.0,4.903069972991943,1224.13234578619,1705.78427709954,14.673572451132971,Road Proximity_iqr_outlier
591,85.68179004646933,28.040324677150608,32.14484405517578,3447.0,191.7889404296875,0.32826682925224304,30.0,4.758371829986572,7988.003505257118,3498.57113690718,15.269598676101658,Road Proximity_iqr_outlier
630,85.78185915897257,27.941895521828027,65.64842987060547,1540.0,103.99150848388672,0.4145442247390747,30.0,4.540307521820068,180.0,543.3231082882451,13.66725321345305,Slope_iqr_outlier
633,85.7599013964793,27.958073692424,40.41331481933594,3033.0,155.86119079589844,0.35555365681648254,30.0,4.540307521820068,2978.9259809535383,1252.8367810692662,14.837528249743002,Road Proximity_iqr_outlier
634,85.7581036389388,27.95892592557806,34.45143508911133,3108.0,187.6759796142578,0.5312947034835815,10.0,4.540307521820068,3180.14150628553,1295.2219886953742,15.328450315371978,Road Proximity_iqr_outlier
635,85.73746402364516,28.111588773161436,22.93332290649414,4102.0,60.17341995239258,0.18689581751823425,100.0,4.176478385925293,4773.017913228485,4616.1997357133505,15.922009503690122,Elevation_iqr_outlier;Road Proximity_iqr_outlier;TWI_iqr_outlier
