Aspect,Slope,LULC,NDVI,Rainfall,TWI
64.412735,25.978188,10,0.73167896,4.559856,14.872861461534638
102.46433,34.019974,10,0.62588567,4.6264033,14.883801134470842
87.335884,34.85855,30,0.7844151,4.559856,14.244146158373468
111.33767,40.207253,10,0.6328424,4.559856,14.782883204445854
107.329285,33.110653,10,0.78084385,4.559856,14.83236488364862
39.676125,32.250546,10,0.5925926,4.559856,14.300965254696012
61.84992,38.279587,10,0.74711525,4.559856,14.447446466238016
40.06831,39.52125,10,0.74304694,4.559856,14.503050749955005
52.847588,38.803173,10,0.7346895,4.559856,14.65533131472155
54.12235,13.960384,10,0.70950425,4.559856,15.399727542415429
90.0,29.58233,30,0.27083334,4.559856,14.459234739670496
86.1099,25.511095,10,0.73230714,4.559856,14.613991318808086
61.62075,56.28408,10,0.7151982,4.559856,13.894015752559945
43.213234,52.653122,10,0.6579949,4.559856,14.604818107143512
249.77782,35.08686,30,0.6882077,4.6264033,14.87034632334738
238.62999,31.878866,10,0.7890068,4.6264033,14.663871015332331
254.00142,35.176292,60,0.7495679,4.6264033,14.69391622825298
261.1331,32.215855,10,0.81104255,4.559856,14.828327482322935
277.40714,32.12165,10,0.82607436,4.559856,14.77198458965322
294.5251,31.96288,10,0.7844703,4.559856,14.7531595291625
10.873988,41.141712,10,0.83321106,4.559856,14.406117659154267
5.171189,22.114275,10,0.64100885,4.559856,14.599360691944828
355.0267,32.362797,10,0.79573077,4.559856,14.532410698729398
330.50656,40.546986,10,0.79830587,4.6264033,14.44870092816028
309.12003,30.544647,60,0.63529414,4.6264033,14.122476780972413
290.74924,34.426075,60,0.37808293,4.6264033,14.799358164001728
356.76254,32.96526,10,0.61096257,4.559856,14.455945374716585
21.676785,32.80287,30,0.35737827,4.559856,14.741974157667284
217.57117,45.60055,10,0.71411324,4.559856,13.837466488498528
194.46776,43.61906,10,0.71607447,4.559856,14.34923829360426
196.93933,41.345886,60,0.45021185,4.6264033,14.345652741211635
214.94572,33.879387,30,0.43409917,4.559856,14.241640416667584
213.30219,30.981346,60,0.5038435,4.559856,13.96303567616645
230.98692,29.498499,30,0.6289655,4.548963,14.88323108148604
221.47505,34.659008,10,0.5763878,4.548963,14.753332998833988
241.85524,38.28442,30,0.6063794,4.6264033,14.921631244638723
220.03818,36.50222,10,0.66441005,4.6264033,14.695634613895711
160.10596,40.7204,10,0.45146236,4.4971914,14.59533677896918
175.11754,40.730965,10,0.6702017,4.496347,14.260087937495122
175.82326,26.709585,60,0.36715645,4.987441,15.179497700308012
174.12485,35.603535,60,0.5628526,4.987441,14.948897628722426
151.2434,31.355886,30,0.69747686,5.2217073,14.850647997039678
206.57426,37.893517,10,0.76647764,4.987441,14.99398423069794
212.16357,27.307598,10,0.5694262,4.987441,15.140550131959492
200.67368,37.903812,10,0.7287505,4.8086514,14.911957079557007
168.48352,39.557335,10,0.70259917,4.987441,14.593784471461944
322.0482,30.767183,10,0.73464656,4.6042256,14.99494677950637
226.28613,43.136703,10,0.5246701,4.6042256,14.652859413606702
193.89323,28.085264,30,0.46593696,4.6042256,14.917416244644851
195.30412,46.13819,30,0.44143206,4.6264033,14.652108180326607
173.79321,40.255505,60,0.45042193,4.6264033,15.169492327976384
240.6312,24.801792,30,0.3693189,4.6042256,15.170993128479266
315.39633,46.899467,10,0.65924144,4.6042256,14.03585489423975
153.24443,53.29841,30,0.4892945,4.6042256,14.069922439879813
158.30373,43.2525,10,0.4817506,4.790456,14.466111465746224
327.13776,33.999992,10,0.4826549,4.263062,14.134158447151046
152.18411,39.47546,10,0.79399467,4.6042256,14.394613999025813
142.99457,44.215828,10,0.7097004,4.6042256,14.058682019174512
165.89435,42.028847,30,0.41105527,4.790456,14.511776789788282
3.157896,33.6123,60,0.7241665,4.696327,14.491965072972164
14.363424,41.529236,10,0.74158716,4.696327,14.654613590193373
31.837904,44.180267,10,0.75725025,4.696327,14.54558251719788
83.69333,30.517216,60,0.67550564,4.696327,14.974547011340231
87.84557,40.735424,30,0.6536986,4.696327,14.493606042299314
19.07832,31.65921,10,0.836977,4.548963,14.816710539399711
217.40752,37.017166,10,0.64292055,4.625964,14.369914245243743
192.75117,42.39108,10,0.63976836,4.625964,14.09104222681564
185.27724,38.540028,10,0.75343937,4.625964,14.213619532239523
202.62917,33.68114,60,0.47475106,4.625964,14.735035561112818
189.36967,38.22113,10,0.73703384,4.625964,14.59372878425292
