longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.49123027303793,27.857918612753405,175.02742,32.362766,30,0.15493791,4.607892,14.657363279128202
85.49005456464833,27.85722496503544,98.382355,12.52145,60,0.54577935,4.607892,14.914144344102485
85.48897847964238,27.857111527491835,162.62769,38.561478,30,0.18931834,4.607892,14.737105496178462
85.48314029654009,27.872646111418067,235.21764,51.308258,10,0.6068117,4.607892,14.32696121194612
85.48551961279519,27.87152446299307,180.0,40.089466,10,0.79389435,4.607892,14.270777523654042
85.48870281248466,27.87285210188904,195.30626,46.13848,10,0.39816773,4.607892,14.337539055650772
85.5091346830284,27.86326020892626,171.42337,44.486973,10,0.40916222,4.607892,14.252349125675458
85.5392737115638,27.868994226649804,161.11984,36.340214,30,0.3472741,5.103636,14.182149723880102
85.53759689513099,27.86834894493793,188.0482,27.61683,30,0.26351467,5.103636,14.357759117597745
85.53783852168262,27.868380627990703,181.85114,29.547504,30,0.26351467,5.103636,14.357759117597745
85.5201773401451,27.871470629424973,132.51273,33.851475,10,0.5024461,5.103636,14.366030068745033
85.5203492812658,27.87206800305316,165.5332,43.618935,10,0.6536529,5.103636,14.224606945900646
85.52120417535663,27.871689835973797,149.2942,36.983192,30,0.46209264,5.103636,14.541225914350555
85.51959020939633,27.870359251752628,138.74063,46.53755,10,0.5000771,4.607892,14.237752013618916
85.51911209718624,27.86795117966519,133.85771,49.43512,10,0.5621735,4.607892,13.811478651431147
85.51650612851815,27.866034761178028,159.34076,39.706665,10,0.465371,4.607892,14.055124688608625
85.48924704039989,27.86322522391244,194.10979,42.02936,60,0.3226014,4.607892,14.611309427635547
85.47985484419934,27.871488829388248,149.08334,43.899506,10,0.6579085,4.607892,14.634234740980773
85.49632767564091,27.89200467994047,85.698326,40.802666,10,0.80581325,4.607892,14.965925283973357
85.49599651790346,27.89266345167248,67.80852,14.421194,30,0.71860665,4.607892,14.8317362076925
85.48986012147054,27.89307243214943,10.39689,31.339142,10,0.7604752,4.496347,14.817020247329168
85.51063503662152,27.89960116609207,161.09709,52.439983,30,0.4712684,4.496347,14.478289637989485
85.48653932209903,27.8867226245812,100.98017,37.412365,10,0.7908041,4.607892,14.866645863484328
85.488048887164,27.88739299693835,128.42204,42.35527,10,0.48750666,4.607892,14.743886501744413
85.50552691354443,27.89950905010708,187.39824,44.8778,10,0.53636366,4.496347,14.470377919041368
85.56507690818493,27.807503186216763,208.68059,29.769567,10,0.5618196,4.647837,14.527833214325316
85.56902900447724,27.798059343785017,118.239204,30.182817,30,0.28119293,4.549546,14.261103255435785
85.566714454023,27.79676185140085,117.957794,31.861624,30,0.52030677,4.549546,14.140627497044385
85.5750791168121,27.809524007256016,79.96812,33.043953,30,0.3195418,4.647837,14.224565909708744
85.76260888005757,28.039483134763373,55.825783,40.84539,10,0.7128954,4.90307,14.9655034145967
85.57408429110004,27.806752508115743,136.90482,32.73625,30,0.65657073,4.647837,14.192089397107818
85.57450201859298,27.80829278399209,114.77262,24.872032,30,0.62401867,4.647837,14.426796642861216
85.5449782756327,27.882096492629284,290.8913,59.898983,60,0.076358825,5.103636,14.28478284118736
85.51338552031973,27.81838849728549,185.5355,29.64968,30,0.16035055,4.804811,14.602751165161306
85.57377286274462,27.84089247174462,133.52362,34.2817,30,0.33258027,4.647837,14.316906943367117
85.58083436850276,27.81899460075365,134.21207,37.454823,30,0.20847842,4.647837,14.412333384634932
85.58107576534546,27.819355801163404,153.1683,34.58058,30,0.20717782,4.647837,14.279678864556406
