Aspect,DEM,Slope,LULC,NDVI,Rainfall,TWI,River,Road
229.64078,1472,32.002724,30,0.5366902,4.607892,14.807442653297583,2100.0,0.0
225.0254,1485,30.773,30,0.56526446,4.607892,14.865825448606708,2100.0,30.0
157.43086,1412,40.66206,30,0.4683672,4.607892,14.337990825969433,2340.0,30.0
200.66362,1383,29.723125,30,0.6065999,4.607892,14.775547902552416,2310.0,0.0
181.11755,1320,43.200207,10,0.3503673,4.607892,14.781434083579049,3060.0,60.0
146.35405,1448,33.470295,10,0.8321385,4.607892,14.43086942681408,3180.0,60.0
152.09354,1512,40.726532,10,0.7020535,4.496347,14.503579428219876,3120.0,30.0
73.58483,1496,15.982375,10,0.79868853,4.496347,14.701442457577834,2970.0,201.24611797498108
161.07458,1551,48.478725,30,0.59179103,4.496347,14.0976703656581,2910.0,182.48287590894657
167.5923,1555,30.82438,30,0.49340084,4.496347,14.536750822293772,4260.0,0.0
168.48842,1600,39.556847,30,0.49550542,4.496347,14.331534554242886,4170.0,0.0
148.5503,1479,35.072113,60,0.37927106,4.496347,14.619784362277732,4080.0,30.0
162.26794,1444,38.017544,30,0.56017107,4.496347,14.577528044102465,3900.0,60.0
